Discogs ID,Title,Artists,Genres,Styles,Year,Tracklist,Notes
113534,Fabric 12,The Amalgamation Of Soundz,Electronic,"Leftfield, Deep House, Downtempo",2003,"Helicopter (2:46)
Hank's Transition (2:08)
Heart Noir (3:03)
Come To Me (3:59)
Htrs (Instrumental) (3:06)
Brown Sugar (3:00)
Pump Da Ball (4:04)
Meaning (The Amalgamation Of Soundz Rework) (4:21)
Papua New Guinea (Translation 3) (4:26)
Cuba Libre (2:11)
Chicken Bone Circuit (1:56)
Simply So (3:32)
Save Your Soul (5:10)
Are You Sure About That (5:01)
Systemizing (3:43)
Groove Control (4:41)
Summer Night (5:53)
Bey Un Bey (MKL Vs SoySos Remix) (6:14)",
60590,Fabric 13,Michael Mayer,Electronic,"House, Tech House",2003,"I Think About You (Geiger Mix) (5:01)
Bring Me Closer (6:22)
Oldschool, Baby (Piano Mix) (5:05)
In The Air (Further's Acid Relapse Edit) (7:53)
Killerteppich (4:34)
Busted (4:10)
Easy Lee (7:15)
Abendstern (6:36)
Mushroom (5:12)
Run Into Flowers (Jackson Remix) (5:03)
Really Real (5:19)
Love Me (5:39)
I Think About You (Original Mix) (4:45)",
31506,Fabric 14,Stacey Pullen,Electronic,"House, Techno, Tech House",2004,"Spacey Bongo (6:10)
I Got It (4:50)
The DJ's Calling (4:24)
Roll Call (Asad Rivsi's Silverlining Mix) (4:43)
Get It Back (5:26)
Beatz In Peacez 03 (5:26)
Slips (4:58)
Saxaphobia (3:50)
Music People (6:29)
3rd Eye (6:29)
Hold On (4:54)
The Drum (4:51)
Catch 2 (5:19)
Flookin' (6:08)",
345177,Fabric 15: Tyrant,Craig Richards,Electronic,"Dub, Electro, Minimal, Tech House",2004,"Six Of One (Part One) ()
Other Planets ()
Vibes ()
W.U.O. (Eight Miles High Mix) ()
River ()
Face The Flames ()
Charlie's On The Dancefloor ()
Expander ()
Elastobabe (Soul Capsule Mix) ()
Orange Mistake ()
You'll Never Come Back (Ricardo Villalobos Remix) ()
Athan Dance ()
Dreipunkter ()
Pensum ()
The Trick ()
Luckycharm ()
Words ()
Muchmo ()
Nice Daze ()
Food And Fuel ()
The Minimum Of Life ()
Frequent Flyer Lounge Song ()
Systematic ()
Rock, Computer ()
Put Your Arms Around Me (Breath Mix) ()
Undercover ()
Programming ()
Dada ()
Programme Sequence ()
Totentanz ()
Hustlin' ()
On That Tip ()
Smoking That Edge ()
Chromozoid Fly ()
Knifflige Fragen ()
Silence Is Defeat ()
Whip ()",
150385,Fabric 16,Eddie Richards,Electronic,"House, Tech House",2004,"Loosely Joined (4:01)
Be Still (4:25)
Vegas Nights (Audio Soul Project Rerub) (5:21)
Scorpio (6:11)
I Believe (MastikSoul Remix) (5:45)
High As Can Be (Gideon's Dredtek's Get Up Mix) (5:04)
Shwing (6:23)
11th & Broadway (5:53)
Push Me (6:16)
Plural (5:16)
Fathernature (6:09)
Steppin' Out (Tunnel Mix) (6:10)
Do U Know House? (4:07)
Butterfly Lips  (2:45)",
533929,Fabric 17,Akufen,Electronic,"Leftfield, Techno, IDM, Minimal, Cha-Cha, Latin",2004,"LFO Drive (4:14)
Dog Days (Pantytec Remix) (2:14)
Karashik (1:27)
1968 (Ark Remix) (2:44)
Alabaster (4:40)
Set Me Free (1:20)
Little Tiny 1/8"" Jack (2:48)
Smoke On The Water (3:54)
Blood Red (Lyin' Beats) (1:24)
Bobb (4:16)
Red Fibreglass (5:32)
M'Gell (1:53)
Close To Me (5:17)
Instrument (Soul Capsule On It Remix) (3:06)
Ample Slacks (3:50)
Bucolik (4:22)
Yaki Soba (2:59)
Funky Sterling (5:26)
Siamese Twins (Mike Shannon's Incision Mix) (4:24)
In My Life (2:36)
My Old Lady (4:51)",
1661167,Fabric 18,"Baby Mammoth, Beige, The Solid Doctor",Electronic,"Trip Hop, Future Jazz, Downtempo",2004,"Elephunk (7:08)
Blind Date (5:39)
Finale (Nickodemus & Osiris Remix) (5:53)
Bewilder (4:35)
Shut Up (4:57)
Boy With A Comb (4:11)
Bottle Back (5:54)
Sizzling Finch (5:37)
Did You Piss On My Guitar (4:52)
Bullshit (4:55)
Stick It In T'Middle (4:57)
Spansules (7:23)
Pigeon's G-Spot (3:13)",
536895,Fabric 19,Andrew Weatherall,Electronic,"House, Electro, Tech House, Acid",2004,"I Need A Freak (5:21)
Freak-A-Holic (3:01)
M/S Langåra (Syntax Erik Mix) (5:15)
Time Out (Acid Dub) (6:14)
Don't Hide It (Alexkid's Vocal) (5:41)
She Hit My Head (4:05)
Dunufus (3:36)
Everyday Of My Life (Martin Landsky Remix) (3:25)
Robot Dance (4:08)
That Kid (Hate Mix) (5:05)
Second Skin (4:12)
Brother Mole (John Tejada Mix) (4:54)
Timing, Forget The Timing (Kerrier District Mix) (4:30)
Bloody Hell (4:18)
Dexter (2 Lone Swordsmen Mix) (5:29)
Atmosphere (4:23)",
60599,Fabric 20,John Digweed,Electronic,"House, Progressive House",2005,"Strive To Live (16B Mix) (6:53)
Traber (2:55)
Forgive & Forget (Richard Davis Remix) (4:35)
True Science (4:35)
Won't Bother Me (20:20 Soundsystem Instrumental) (3:43)
In The Dark (6:49)
Venom (2:48)
Rocking Music (Martin Solveig Dub) (4:35)
Lie To Me (FreestyleMan Thirsty Monk Dub) (5:06)
Knob Job (3:34)
Better World (Wink Interpretation) (6:45)
Happiness (Michael Mayer Mix) (6:34)
Emico (5:14)
Vertigo (Goldtrix Remix) (6:47)",
138835,Fabric 21,DJ Heather,Electronic,House,2005,"Good People ()
I Got Your Love ()
Ze Theme ()
Release ()
Jump To Tha' Funk ()
Back To The Program ()
Bumpin The BQE (2-Utes Massive Mix) ()
Just Like Heaven ()
Steppin' Out (Member's Only Mix) ()
Byrdman's Revenge ()
Antonio's Groove ()
Snow Day (JT Donaldson Remix) ()
Puffin Stuff (JT's Flashback Rework) ()
Feel Alright (Dub Mix) ()
Acid Jack (Original Mix) ()
Brazilian Soul (The Jazzy Joint Mix) ()
Memories ()
Cat's Eyes ()",
